name,id,country,state,city,postal_code,full_address,phone,latitude,longitude,official_url,services,audiology,status
Oscar Wylee Westfield Albany,optometrist-albany,New Zealand,Auckland,Albany,0632,"Westfield Albany, Shop S229, 219 Don McKinnon Drive, Albany, Auckland 0632",09 281 0674,-36.728246379963444,174.7074882152879,https://www.oscarwylee.co.nz/locations/optometrist-albany.html,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,Active
Oscar Wylee Auckland CBD,optometrist-auckland-cbd,New Zealand,Auckland,Auckland CBD,1010,"Shop S9, 163 Queen Street, Auckland CBD, Auckland 1010",09 282 0368,-36.847641330406674,174.76513282605924,https://www.oscarwylee.co.nz/locations/optometrist-auckland-cbd.html,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,Active
Oscar Wylee Manukau,optometrist-manukau,New Zealand,Auckland,Manukau,2104,"Westfield Manukau City, Shop S-041, 1 Leyton Way, Manukau City Centre, Auckland 2104",(09) 217 6391,-36.991585,174.8817606,https://www.oscarwylee.co.nz/locations/optometrist-manukau.html,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,Active
Oscar Wylee Westfield St Lukes,stlukes,New Zealand,Auckland,Mount Albert,1025,"Westfield St Lukes, Level 1, 80 St Lukes Road, Mount Albert, Auckland 1025",09 280 1877,-36.882475279931676,174.73083761506345,https://www.oscarwylee.co.nz/locations/stlukes.html,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,Active
Oscar Wylee Lynn Mall,optometrist-new-lynn,New Zealand,Auckland,New Lynn,0600,"LynnMall, 3058 Great North Road, New Lynn, Auckland 0600",09 282 0421,-36.906516079926845,174.68280191529288,https://www.oscarwylee.co.nz/locations/optometrist-new-lynn.html,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,Active
Oscar Wylee Northlands Mall,optometrist-northlands,New Zealand,Canterbury,Papanui,8052,"Northlands Mall, Shop 070, 55 Main North Road, Papanui, Christchurch 8052",(03) 926 0069,-43.49404827912709,172.6063809154926,https://www.oscarwylee.co.nz/locations/optometrist-northlands.html,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,Active
Oscar Wylee The Plaza Palmerston North,optometrist-palmerston-north,New Zealand,Manawatu-Whanganui,Palmerston North,4410,"The Plaza, Shop 48-A, 84 The Square, Palmerston North 4410",06 280 0014,-40.35688817937212,175.6110683153941,https://www.oscarwylee.co.nz/locations/optometrist-palmerston-north.html,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,Active
Oscar Wylee Queensgate Shopping Centre,optometrist-queensgate,New Zealand,Wellington,Lower Hutt,5011,"Queensgate Shopping Centre, Shop 128, Cnr Queens Drive and Bunny Street, Lower Hutt, Wellington 5011",04 280 0058,-41.2100157,174.905966,https://www.oscarwylee.co.nz/locations/optometrist-queensgate.html,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,Active
Oscar Wylee Wellington Central,optometrist-wellington-central,New Zealand,Wellington,Wellington,6011,"G01, 18 Willis Street, Wellington, Central Wellington 6011",04 280 0120,-41.28677447927353,174.7736222154227,https://www.oscarwylee.co.nz/locations/optometrist-wellington-central.html,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,Active
