id,name,status,country,state,city,postal_code,full_address,phone,latitude,longitude,official_url,services,audiology,source_url
booval-fair,Optical Warehouse Booval (incorporating LensPro),Active,Australia,QLD,Booval,4304,"Shop 24B, Booval Fair Shopping Centre, Cnr Brisbane & South Station Roads, Booval QLD 4304",(07) 3281 8400,-27.6139760,152.7923336,https://www.opticalwarehouse.com.au/local_store/booval-fair/,,false,https://www.opticalwarehouse.com.au/local-store/
browns-plains,Optical Warehouse Browns Plains,Active,Australia,QLD,Browns Plains,4118,Shop G107 Grand Plaza Shopping Centre Browns Plains QLD 4118,07 3809 0992,-24.7761086,134.7550000,https://www.opticalwarehouse.com.au/local_store/browns-plains/,,false,https://www.opticalwarehouse.com.au/local-store/
capalaba,Optical Warehouse Capalaba,Active,Australia,QLD,Capalaba,4157,"Shop 1, 200 Old Cleveland Road Capalaba QLD 4157",07 3823 3340,-27.5206311,153.1986604,https://www.opticalwarehouse.com.au/local_store/capalaba/,,false,https://www.opticalwarehouse.com.au/local-store/
hervey-bay,Optical Warehouse Hervey Bay (new location),Active,Australia,QLD,Hervey Bay,4655,"125 Boat Harbour Dr, Pialba QLD 4655",07 4194 2600,-25.2884763,152.8393162,https://www.opticalwarehouse.com.au/local_store/hervey-bay/,,false,https://www.opticalwarehouse.com.au/local-store/
maroochydore,Optical Warehouse Maroochydore,Active,Australia,QLD,Maroochydore,4558,"Unit 3, 25-27 Maud Street Maroochydore QLD 4558",07 5443 9930,-26.6581625,153.0935581,https://www.opticalwarehouse.com.au/local_store/maroochydore/,,false,https://www.opticalwarehouse.com.au/local-store/
maryborough,Optical Warehouse Maryborough,Active,Australia,QLD,Maryborough,4650,"Shop 8, Comet Place, 133 Lennox Street Maryborough QLD 4650",07 4123 5422,-25.5398402,152.6994967,https://www.opticalwarehouse.com.au/local_store/maryborough/,,false,https://www.opticalwarehouse.com.au/local-store/
stafford,Optical Warehouse Stafford,Active,Australia,QLD,Stafford,4053,"Shop No. E23, Stafford City Shopping Centre Stafford QLD 4053",07 3352 5001,-27.4116430,153.0122648,https://www.opticalwarehouse.com.au/local_store/stafford/,,false,https://www.opticalwarehouse.com.au/local-store/
strathpine,Optical Warehouse Strathpine,Active,Australia,QLD,Strathpine,4500,"Shop 1, 424 Gympie Road Strathpine QLD 4500",07 3205 9992,-27.3026634,152.9883482,https://www.opticalwarehouse.com.au/local_store/strathpine/,,false,https://www.opticalwarehouse.com.au/local-store/
