domain,canonical_group_id,role,source_type,confidence
westfield.com.au,group-scentre,OPERATOR,Official property website,High
westfield.co.nz,group-scentre,OPERATOR,Official property website,High
stockland.com.au,group-stockland,MANAGER,Official owner portfolio,High
vicinity.com.au,group-vicinity,MANAGER,Official owner portfolio,High
strideproperty.co.nz,group-stride,MANAGER,Official owner portfolio,High
kiwiproperty.com,group-kiwi-property,MANAGER,Official owner portfolio,High
qicre.com,group-qic,MANAGER,Official owner portfolio,High
mirvac.com,group-mirvac,MANAGER,Official owner portfolio,High
