id,name,status,country,state,city,postal_code,full_address,phone,latitude,longitude,official_url,services,audiology,source_url
33,Dresden Vision Newtown,Active,Australia,NSW,Sydney,2042,"278 King Street, Newtown NSW 2042",,-33.8962177,151.1807818,https://dresden.vision/au/stores/newtown,,false,https://dresden.vision/au/stores
8,Dresden Vision Rozelle,Active,Australia,NSW,Sydney,2039,"625 Darling St, Rozelle NSW 2039",,-33.86172,151.1711893,https://dresden.vision/au/stores/rozelle,,false,https://dresden.vision/au/stores
16,Dresden Vision West End,Active,Australia,QLD,Brisbane,4101,"4/173 Boundary St, West End (Brisbane) QLD 4101",,-27.4801113,153.011946,https://dresden.vision/au/stores/west-end,,false,https://dresden.vision/au/stores
6,Dresden Vision Fitzroy,Active,Australia,VIC,Melbourne,3065,"77 Smith St, Fitzroy VIC 3065, Australia",,-37.806655,144.98282,https://dresden.vision/au/stores/fitzroy,,false,https://dresden.vision/au/stores
34,Dresden Vision Geelong,Active,Australia,VIC,Melbourne,3220,"315 Pakington Street, Newtown VIC 3220",,-38.1555991,144.3453753,https://dresden.vision/au/stores/geelong,,false,https://dresden.vision/au/stores
